# Exported from Leapfrog Geothermal - UTF-8 encoding
X,Y,Z
439092.7,4373573.3,0
440092.7,4373573.3,0
441092.7,4373573.3,0
442092.7,4373573.3,0
443092.7,4373573.3,0
444092.7,4373573.3,0
445092.7,4373573.3,0
446092.7,4373573.3,0
447092.7,4373573.3,0
448092.7,4373573.3,0
449092.7,4373573.3,0
450092.7,4373573.3,0
451092.7,4373573.3,0
452092.7,4373573.3,0
453092.7,4373573.3,0
454092.7,4373573.3,0
439092.7,4374573.3,0
440092.7,4374573.3,0
441092.7,4374573.3,0
442092.7,4374573.3,0
443092.7,4374573.3,0
444092.7,4374573.3,0
445092.7,4374573.3,0
446092.7,4374573.3,0
447092.7,4374573.3,0
448092.7,4374573.3,0
449092.7,4374573.3,0
450092.7,4374573.3,0
451092.7,4374573.3,0
452092.7,4374573.3,0
453092.7,4374573.3,0
454092.7,4374573.3,0
439092.7,4375573.3,0
440092.7,4375573.3,0
441092.7,4375573.3,0
442092.7,4375573.3,0
443092.7,4375573.3,0
444092.7,4375573.3,0
445092.7,4375573.3,0
446092.7,4375573.3,0
447092.7,4375573.3,0
448092.7,4375573.3,0
449092.7,4375573.3,0
450092.7,4375573.3,0
451092.7,4375573.3,0
452092.7,4375573.3,0
453092.7,4375573.3,0
454092.7,4375573.3,0
439092.7,4376573.3,0
440092.7,4376573.3,0
441092.7,4376573.3,0
442092.7,4376573.3,0
443092.7,4376573.3,0
444092.7,4376573.3,0
445092.7,4376573.3,0
446092.7,4376573.3,0
447092.7,4376573.3,0
448092.7,4376573.3,0
449092.7,4376573.3,0
450092.7,4376573.3,0
451092.7,4376573.3,0
452092.7,4376573.3,0
453092.7,4376573.3,0
454092.7,4376573.3,0
439092.7,4377573.3,0
440092.7,4377573.3,0
441092.7,4377573.3,0
442092.7,4377573.3,0
443092.7,4377573.3,0
444092.7,4377573.3,0
445092.7,4377573.3,0
446092.7,4377573.3,0
447092.7,4377573.3,0
448092.7,4377573.3,0
449092.7,4377573.3,0
450092.7,4377573.3,0
451092.7,4377573.3,0
452092.7,4377573.3,0
453092.7,4377573.3,0
454092.7,4377573.3,0
439092.7,4378573.3,0
440092.7,4378573.3,0
441092.7,4378573.3,0
442092.7,4378573.3,0
443092.7,4378573.3,0
444092.7,4378573.3,0
445092.7,4378573.3,0
446092.7,4378573.3,0
447092.7,4378573.3,0
448092.7,4378573.3,0
449092.7,4378573.3,0
450092.7,4378573.3,0
451092.7,4378573.3,0
452092.7,4378573.3,0
453092.7,4378573.3,0
454092.7,4378573.3,0
439092.7,4379573.3,0
440092.7,4379573.3,0
441092.7,4379573.3,0
442092.7,4379573.3,0
443092.7,4379573.3,0
444092.7,4379573.3,0
445092.7,4379573.3,0
446092.7,4379573.3,0
447092.7,4379573.3,0
448092.7,4379573.3,0
449092.7,4379573.3,0
450092.7,4379573.3,0
451092.7,4379573.3,0
452092.7,4379573.3,0
453092.7,4379573.3,0
454092.7,4379573.3,0
439092.7,4380573.3,0
440092.7,4380573.3,0
441092.7,4380573.3,0
442092.7,4380573.3,0
443092.7,4380573.3,0
444092.7,4380573.3,0
445092.7,4380573.3,0
446092.7,4380573.3,0
447092.7,4380573.3,0
448092.7,4380573.3,0
449092.7,4380573.3,0
450092.7,4380573.3,0
451092.7,4380573.3,0
452092.7,4380573.3,0
453092.7,4380573.3,0
454092.7,4380573.3,0
439092.7,4381573.3,0
440092.7,4381573.3,0
441092.7,4381573.3,0
442092.7,4381573.3,0
443092.7,4381573.3,0
444092.7,4381573.3,0
445092.7,4381573.3,0
446092.7,4381573.3,0
447092.7,4381573.3,0
448092.7,4381573.3,0
449092.7,4381573.3,0
450092.7,4381573.3,0
451092.7,4381573.3,0
452092.7,4381573.3,0
453092.7,4381573.3,0
454092.7,4381573.3,0
439092.7,4382573.3,0
440092.7,4382573.3,0
441092.7,4382573.3,0
442092.7,4382573.3,0
443092.7,4382573.3,0
444092.7,4382573.3,0
445092.7,4382573.3,0
446092.7,4382573.3,0
447092.7,4382573.3,0
448092.7,4382573.3,0
449092.7,4382573.3,0
450092.7,4382573.3,0
451092.7,4382573.3,0
452092.7,4382573.3,0
453092.7,4382573.3,0
454092.7,4382573.3,0
439092.7,4383573.3,0
440092.7,4383573.3,0
441092.7,4383573.3,0
442092.7,4383573.3,0
443092.7,4383573.3,0
444092.7,4383573.3,0
445092.7,4383573.3,0
446092.7,4383573.3,0
447092.7,4383573.3,0
448092.7,4383573.3,0
449092.7,4383573.3,0
450092.7,4383573.3,0
451092.7,4383573.3,0
