Var1,Var2,Var3
447075.05216881,4383523.72253815,-1529.79495833048
447058.608757958,4385438.36718985,-1539.61418664877
447173.960662616,4385662.6752259,-1338.30229776898
447075.41067321,4383454.37889106,-1529.78843205606
447145.893044264,4382853.02734659,-1415.20032522016
447129.496012318,4383217.79327575,-1438.59174608971
447148.233613933,4382517.07887346,-1413.83295669632
447132.685537984,4382149.62666295,-1441.61617772862
447153.102634289,4381251.51249995,-1413.67558806906
447134.106615032,4381621.54421642,-1442.62951174715
447136.066370044,4376441.2686348,-1415.61078440241
447126.36736269,4376801.98975068,-1436.84981409186
447072.116279632,4377402.70465394,-1539.88429670249
447189.221431208,4377649.92950802,-1343.10861854484
447151.278271278,4378047.1717039,-1413.29386472647
447134.342748822,4378417.40703595,-1443.8348892176
447080.300376215,4378992.53134061,-1540.49095101529
447194.991175306,4379253.63549314,-1345.04834024752
447154.488333458,4380912.57475959,-1412.87981639803
447135.985783916,4380541.08272955,-1444.48688786322
447085.798184497,4380314.26652354,-1531.68092140288
447085.860669029,4380249.19189854,-1531.6821767808
447156.136647899,4379650.16887036,-1413.00456431409
447136.489170119,4380022.46946623,-1444.90507439464
447050.578808444,4375822.41009626,-1548.94289945947
447096.350510407,4375705.36550617,-1466.86677874332
447065.43549839,4376068.0033052,-1529.86186232855
447196.360596405,4376063.38793621,-1303.89331195306
447051.933538885,4375656.31113707,-1542.60955688032
447004.614698281,4390727.52812664,-1557.64355797955
447379.45076346,4390718.15604117,-903.908026455642
447008.509215678,4390714.62966241,-1551.39647883056
448815.124457825,4385139.2436421,1519.06904893375
448815.618478267,4385045.60807553,1518.95298733314
448722.490952626,4387283.31563702,1417.31820941511
448747.483403654,4386926.27728697,1431.57656176386
448708.680282866,4387638.90926507,1397.37054051653
448734.450245,4388032.94948016,1421.8416469857
448733.978628003,4384110.5242734,1401.68181043761
448762.906607762,4383725.13352414,1423.99778560518
448731.565774206,4384475.576271,1400.99699967555
448758.324577534,4384861.98460489,1427.06208438134
448738.088420541,4376451.64528263,1400.05332795093
448768.529839348,4376839.61013594,1425.01012315958
448751.362845629,4377693.06309392,1402.0614820236
448771.055327646,4377314.22087605,1421.58895949172
448756.194720762,4378052.36991573,1404.62561762621
448777.17528332,4378425.9967966,1413.75928664918
448753.979031992,4380904.91789502,1406.07404141151
448769.168322839,4380535.26700874,1412.64342824027
448752.271937005,4381261.1832315,1403.66977377009
448770.874894306,4381637.3554144,1417.52524099555
448794.633245492,4388346.3981843,1518.80750166988
448780.503398618,4389859.00274328,1520.86921752337
448783.214195971,4389508.50270832,1537.47740661034
448655.693614977,4389342.24609413,1329.74083429981
448715.983611042,4388956.35472978,1430.20273122105
448717.122061021,4388626.36331458,1406.02279372638
448779.821726066,4389947.78983845,1520.88102198372
448702.464906006,4390551.25466686,1426.81272370941
448707.537544625,4390216.21987871,1412.3462307845
448796.289030599,4388254.6750352,1520.30126923028
448806.104995574,4386741.62310848,1520.14356766778
448807.03898523,4386651.15483582,1520.61851879919
448804.585992271,4386424.23597104,1527.52514966853
448677.325856707,4386135.30493566,1321.23956196746
448722.778125569,4385712.12976885,1399.96239538684
448756.749663445,4385319.77415337,1429.36195404963
448823.430170006,4383537.25176694,1517.64093130998
448823.897850424,4383440.37259661,1517.54808179178
448822.348606479,4383191.21773556,1526.89016741058
448694.367783075,4382930.79493009,1315.35582152304
448744.107332224,4382508.14214592,1402.82882214656
448769.586448626,4382127.65963061,1420.33201470045
448831.499994025,4381934.62206915,1516.82208907154
448831.921215864,4381835.79651345,1516.59813428774
448832.697943898,4380333.54620979,1514.70100279984
448832.871632614,4380229.90338664,1514.7002790886
448832.428028012,4379963.33469727,1526.24638688337
448703.930145696,4379727.36955056,1311.13148305798
448841.920968795,4378729.62044127,1514.77502395504
448757.661178403,4379306.25918927,1405.39513657725
448776.974045038,4378933.5720927,1412.95168895358
448841.824361554,4378626.75056399,1514.9027430797
448828.579322713,4377114.95415489,1516.87420252978
448829.248688237,4377018.57279872,1519.78418379955
448733.615128236,4376083.65646798,1399.31632073262
448799.611429908,4375721.72780756,1503.46437208956
448823.948456721,4375653.91231794,1544.5977454356
448769.005314462,4390719.63342092,1550.83312902729
448773.198260076,4390707.13329544,1558.59088404409
448401.056794328,4390717.48413063,920.413723726856
