X_Obs,Y_Obs,Z_Obs,Dilatation
445092.7,4376573.3,0,-1.27508308897708e-05
445092.7,4377573.3,0,-1.58295902093495e-05
445092.7,4378573.3,0,-1.64996293716662e-05
445092.7,4379573.3,0,-1.62333124198232e-05
445092.7,4380573.3,0,-1.57370397871985e-05
445092.7,4381573.3,0,-1.54223791510076e-05
445092.7,4382573.3,0,-1.53102493791385e-05
445092.7,4383573.3,0,-1.53644536653265e-05
445092.7,4384573.3,0,-1.55886300021864e-05
445092.7,4385573.3,0,-1.57921094736469e-05
445092.7,4386573.3,0,-1.57116502167621e-05
445092.7,4387573.3,0,-1.56464220253825e-05
445092.7,4388573.3,0,-1.53579484361989e-05
445092.7,4389573.3,0,-1.32196439773201e-05
445092.7,4390573.3,0,-7.64081682414985e-06
446092.7,4373573.3,0,2.69163305562029e-06
446092.7,4374573.3,0,2.06628705902316e-07
446092.7,4375573.3,0,-1.51889849659838e-05
446092.7,4376573.3,0,-3.48390071676409e-05
446092.7,4377573.3,0,-4.04164223894449e-05
446092.7,4378573.3,0,-3.99396580590221e-05
446092.7,4379573.3,0,-3.87710687580305e-05
446092.7,4380573.3,0,-3.73277781311623e-05
446092.7,4381573.3,0,-3.67943542050381e-05
446092.7,4382573.3,0,-3.66546710691829e-05
446092.7,4383573.3,0,-3.68203191803271e-05
446092.7,4384573.3,0,-3.74363885461186e-05
446092.7,4385573.3,0,-3.82521690775417e-05
446092.7,4386573.3,0,-3.75400684481777e-05
446092.7,4387573.3,0,-3.77809738139894e-05
446092.7,4388573.3,0,-3.90559703214908e-05
446092.7,4389573.3,0,-3.71265686216358e-05
446092.7,4390573.3,0,-2.00242671204534e-05
447092.7,4373573.3,0,6.19806456481602e-06
447092.7,4374573.3,0,1.14794698548333e-05
447092.7,4375573.3,0,-2.35198995611702e-05
447092.7,4376573.3,0,-5.5046328792911e-05
447092.7,4377573.3,0,-7.33047235359652e-05
447092.7,4378573.3,0,-8.1826500982222e-05
447092.7,4379573.3,0,-8.41430783235705e-05
447092.7,4380573.3,0,-8.37858727518997e-05
447092.7,4381573.3,0,-8.34759114713724e-05
447092.7,4382573.3,0,-8.28217841856219e-05
447092.7,4383573.3,0,-8.11381804120616e-05
447092.7,4384573.3,0,-7.82558721807604e-05
447092.7,4385573.3,0,-7.55534717709031e-05
447092.7,4386573.3,0,-7.47965515239532e-05
447092.7,4387573.3,0,-7.72486361861186e-05
447092.7,4388573.3,0,-8.21650601225837e-05
447092.7,4389573.3,0,-8.33511687898373e-05
447092.7,4390573.3,0,-5.48205423906101e-05
448092.7,4373573.3,0,7.81191627194451e-06
448092.7,4374573.3,0,2.22423186176344e-05
448092.7,4375573.3,0,-2.59120549149685e-05
448092.7,4376573.3,0,-6.57732403329726e-05
448092.7,4377573.3,0,-2.89443006218724e-05
448092.7,4378573.3,0,5.59013515899965e-05
448092.7,4379573.3,0,5.55966110633824e-05
448092.7,4380573.3,0,-7.89273847143402e-05
448092.7,4381573.3,0,-7.10225312266613e-05
448092.7,4382573.3,0,3.90721438380951e-05
448092.7,4383573.3,0,4.08582498589492e-05
448092.7,4384573.3,0,-1.15439118347278e-05
448092.7,4385573.3,0,-2.8730455647758e-05
448092.7,4386573.3,0,-2.58908295978866e-05
448092.7,4387573.3,0,4.6937395912911e-05
448092.7,4388573.3,0,-2.28473763490877e-05
448092.7,4389573.3,0,-3.20769968483787e-05
448092.7,4390573.3,0,-1.0770391369045e-05
449092.7,4373573.3,0,5.43721978194547e-06
449092.7,4374573.3,0,8.94720360027452e-06
449092.7,4375573.3,0,6.09613680201379e-07
449092.7,4376573.3,0,-2.02688103841359e-05
449092.7,4377573.3,0,-1.97844833380129e-05
449092.7,4378573.3,0,-1.66205905406833e-05
449092.7,4379573.3,0,-1.71180447641638e-05
449092.7,4380573.3,0,-1.52923340157634e-05
449092.7,4381573.3,0,-1.5166719408846e-05
449092.7,4382573.3,0,-1.6347041744886e-05
449092.7,4383573.3,0,-1.49599085697107e-05
449092.7,4384573.3,0,-1.60457046446723e-05
449092.7,4385573.3,0,-1.62916731352206e-05
449092.7,4386573.3,0,-1.70747937243803e-05
449092.7,4387573.3,0,-1.80435955927601e-05
449092.7,4388573.3,0,-2.02939978900644e-05
449092.7,4389573.3,0,-2.35133191962569e-05
449092.7,4390573.3,0,-1.31894382935332e-05
450092.7,4373573.3,0,2.77457459818284e-06
450092.7,4374573.3,0,2.59161854429289e-06
450092.7,4375573.3,0,-7.16271480742266e-07
450092.7,4376573.3,0,-5.52187223492727e-06
450092.7,4377573.3,0,-7.19773142718576e-06
450092.7,4378573.3,0,-7.09933283384761e-06
450092.7,4379573.3,0,-6.81810557923824e-06
450092.7,4380573.3,0,-6.42502586241629e-06
450092.7,4381573.3,0,-6.22371273325379e-06
450092.7,4382573.3,0,-6.31045286972037e-06
450092.7,4383573.3,0,-6.3238939240349e-06
450092.7,4384573.3,0,-6.36673903580606e-06
450092.7,4385573.3,0,-6.74009197631652e-06
450092.7,4386573.3,0,-7.27191233018977e-06
450092.7,4387573.3,0,-7.70590812123123e-06
450092.7,4388573.3,0,-8.35589012799851e-06
450092.7,4389573.3,0,-8.03019516059436e-06
450092.7,4390573.3,0,-4.26468878515162e-06
451092.7,4373573.3,0,1.30608223252771e-06
451092.7,4374573.3,0,7.99640615909093e-07
451092.7,4375573.3,0,-5.6865045122167e-07
451092.7,4376573.3,0,-2.24637024182318e-06
451092.7,4377573.3,0,-3.27509397950734e-06
451092.7,4378573.3,0,-3.60865179784837e-06
451092.7,4379573.3,0,-3.62261922056093e-06
451092.7,4380573.3,0,-3.52365032827989e-06
451092.7,4381573.3,0,-3.44747563040883e-06
451092.7,4382573.3,0,-3.44663603216087e-06
451092.7,4383573.3,0,-3.47397645871246e-06
451092.7,4384573.3,0,-3.54224242597953e-06
451092.7,4385573.3,0,-3.69983993934673e-06
451092.7,4386573.3,0,-3.89527962708259e-06
451092.7,4387573.3,0,-4.04800398526185e-06
451092.7,4388573.3,0,-4.04162798033271e-06
451092.7,4389573.3,0,-3.46988447901024e-06
451092.7,4390573.3,0,-2.00238204819746e-06
452092.7,4373573.3,0,6.03920195458511e-07
452092.7,4374573.3,0,2.14218213327512e-07
452092.7,4375573.3,0,-4.68160402987441e-07
452092.7,4376573.3,0,-1.24599904797414e-06
452092.7,4377573.3,0,-1.84157018621994e-06
452092.7,4378573.3,0,-2.16440239595446e-06
452092.7,4379573.3,0,-2.28953127664903e-06
452092.7,4380573.3,0,-2.31456091972397e-06
452092.7,4381573.3,0,-2.31244189096769e-06
452092.7,4382573.3,0,-2.31995725396555e-06
452092.7,4383573.3,0,-2.34291817564686e-06
452092.7,4384573.3,0,-2.38483542266092e-06
452092.7,4385573.3,0,-2.44552358508536e-06
452092.7,4386573.3,0,-2.498590350463e-06
452092.7,4387573.3,0,-2.49206700330546e-06
452092.7,4388573.3,0,-2.33929799091725e-06
452092.7,4389573.3,0,-1.91971073426095e-06
452092.7,4390573.3,0,-1.21077559855315e-06
453092.7,4373573.3,0,2.63751678942699e-07
453092.7,4374573.3,0,-7.97802112452567e-09
453092.7,4375573.3,0,-3.98935136310094e-07
453092.7,4376573.3,0,-8.2843165843542e-07
453092.7,4377573.3,0,-1.19410430648356e-06
453092.7,4378573.3,0,-1.44308492717028e-06
453092.7,4379573.3,0,-1.58401183087669e-06
453092.7,4380573.3,0,-1.65320120864457e-06
453092.7,4381573.3,0,-1.68665299753682e-06
453092.7,4382573.3,0,-1.70790063034907e-06
453092.7,4383573.3,0,-1.72721187596935e-06
453092.7,4384573.3,0,-1.74666156926896e-06
453092.7,4385573.3,0,-1.76048808082975e-06
453092.7,4386573.3,0,-1.75103447178593e-06
453092.7,4387573.3,0,-1.68763749373984e-06
453092.7,4388573.3,0,-1.52955818618879e-06
453092.7,4389573.3,0,-1.24336942573759e-06
453092.7,4390573.3,0,-8.44161209514464e-07
454092.7,4373573.3,0,9.18688888091751e-08
454092.7,4374573.3,0,-9.86797215283406e-08
454092.7,4375573.3,0,-3.45069251716933e-07
454092.7,4376573.3,0,-6.09986622601104e-07
454092.7,4377573.3,0,-8.48843039300714e-07
454092.7,4378573.3,0,-1.03294521256711e-06
454092.7,4379573.3,0,-1.15776972163502e-06
454092.7,4380573.3,0,-1.23499387959618e-06
454092.7,4381573.3,0,-1.28083361607537e-06
454092.7,4382573.3,0,-1.30836390070103e-06
454092.7,4383573.3,0,-1.32474975601941e-06
454092.7,4384573.3,0,-1.33128830925822e-06
454092.7,4385573.3,0,-1.32342956990885e-06
454092.7,4386573.3,0,-1.29039502061833e-06
454092.7,4387573.3,0,-1.21619965728562e-06
454092.7,4388573.3,0,-1.08406348162025e-06
454092.7,4389573.3,0,-8.86407759329053e-07
454092.7,4390573.3,0,-6.37661022678762e-07
