X_Obs,Y_Obs,Z_Obs,PercentCSSChange,PercentTnChange,AllSum
439092.7,4373573.3,0,-0.0511633715681463,-0.0648418434966772,1.70845164899993
439092.7,4374573.3,0,-0.049447961041771,-0.147135832044025,1.7091684555491
439092.7,4375573.3,0,-0.0484189286193589,-0.239900433657716,1.7094398168149
439092.7,4376573.3,0,-0.0587094451057458,-0.330675483128912,1.7089374049575
439092.7,4377573.3,0,-0.0830381961352576,-0.407366657690991,1.70762138204804
439092.7,4378573.3,0,-0.118181624415209,-0.462861256429221,1.70571375934719
439092.7,4379573.3,0,-0.158161446029217,-0.496594849272002,1.70355962225534
439092.7,4380573.3,0,-0.196992467547989,-0.512746139848544,1.70147411775882
439092.7,4381573.3,0,-0.230657981765046,-0.51865544546381,1.69967764589907
439092.7,4382573.3,0,-0.257686323828316,-0.52119313023039,1.69826109295059
439092.7,4383573.3,0,-0.278713488056916,-0.519888769186765,1.69711623359178
439092.7,4384573.3,0,-0.295649260592137,-0.515646484005628,1.69615456357396
439092.7,4385573.3,0,-0.31082085994886,-0.505691258708418,1.69525331832431
439092.7,4386573.3,0,-0.326173865363017,-0.484454543059456,1.69430134705468
439092.7,4387573.3,0,-0.342434787018704,-0.447349917552626,1.69329086785048
439092.7,4388573.3,0,-0.358220511951717,-0.390541711169555,1.69478151257346
439092.7,4389573.3,0,-0.341028780475929,-0.313942135066884,1.69569977415302
439092.7,4390573.3,0,-0.316050028568646,-0.223467917303433,1.69671449932971
440092.7,4373573.3,0,-0.0612136197619886,-0.0584763349939408,1.70832783423969
440092.7,4374573.3,0,-0.0546258832851625,-0.175602962889582,1.7096564063705
440092.7,4375573.3,0,-0.0488229919529376,-0.312987504371117,1.71033807132037
440092.7,4376573.3,0,-0.0604670688393564,-0.447559813113355,1.70976062450553
440092.7,4377573.3,0,-0.0960697928655565,-0.556670726456513,1.70782022270858
440092.7,4378573.3,0,-0.149020927487338,-0.628746603624865,1.70496570868143
440092.7,4379573.3,0,-0.207686896236985,-0.665787177115914,1.70185729619326
440092.7,4380573.3,0,-0.261532871683635,-0.678040784622132,1.69903686756189
440092.7,4381573.3,0,-0.304561817455975,-0.680373999642051,1.69683811255815
