X_Obs,Y_Obs,Z_Obs,S1_mag,S2_mag,S3_mag,S1DirX,S1DirY,S1DirZ,S2DirX,S2DirY,S2DirZ,S3DirX,S3DirY,S3DirZ
439092.7,4373573.3,0,0.0619895073770675,0.0225976761178063,-0.126982518000018,0.409459250662384,-0.23760032269483,-0.880845734906125,0.508810418806046,-0.741924154221549,0.436646890630238,0.757268168987324,0.626972595922623,0.18289418853707
439092.7,4374573.3,0,0.0704811193948686,0.0250268594309306,-0.158274080966023,0.330815722946012,-0.201870862467819,-0.921850916546817,0.470806219421321,-0.811295166277567,0.346614565373208,0.817864573878775,0.548678692917042,0.173347139384923
439092.7,4375573.3,0,0.0796891552043818,0.0257076795510969,-0.190488706288314,0.263868754689847,-0.152507635844028,-0.952425693326096,0.418266323553477,-0.871662575899653,0.255455742462446,0.869152784543367,0.465774381847314,0.166215710254071
439092.7,4376573.3,0,0.0892890004326142,0.0241801585744529,-0.220931560477538,0.215582027413009,-0.102287939143934,-0.971113570578737,0.354826815072805,-0.918313154757795,0.175496099968276,0.90973750101982,0.38241094035667,0.161677308035919
439092.7,4377573.3,0,0.0986961617216656,0.0205702560560841,-0.247158574056248,0.186067321466435,-0.0604670071801127,-0.980674611135103,0.287350224714956,-0.951117034388813,0.113164637814527,0.939579054810488,0.302853310924793,0.159596590888779
439092.7,4378573.3,0,0.107256756662454,0.0155350185986409,-0.267673174866352,0.170946611609956,-0.0302416402822293,-0.984816073778305,0.222252556613877,-0.972583707192506,0.0684451136479308,0.959885960444089,0.230578350451041,0.159538607382686
439092.7,4379573.3,0,0.114444115730909,0.0100218323146286,-0.282182298897657,-0.164963236923607,0.0107729652530436,0.986240880152178,0.163554799916975,-0.985797295337975,0.038125056438662,-0.972644312114045,-0.167593662541248,-0.160858342613015
439092.7,4380573.3,0,0.119939436345357,0.00500524579487481,-0.291347632686221,-0.163858583995621,-0.000384925433225254,0.986483763821463,0.112663194867972,-0.993464220679265,0.0183261221288805,-0.980029269447138,-0.114143304939677,-0.16283100737991
439092.7,4381573.3,0,0.123605907155139,0.00129008070239079,-0.296258338338428,0.16477195706676,0.00596131627314551,-0.986313674686041,0.0688301519861725,-0.997613401959419,0.00546904091365501,0.98392713772004,0.0687892647093013,0.164789030942
439092.7,4382573.3,0,0.125416991562373,-0.000596869585319486,-0.29790998864872,0.166062533187842,0.00848307007303912,-0.986078735493963,0.029796938497869,-0.999549558195119,-0.00358094513992049,0.985664941817142,0.0287874666144279,0.16624050119791
439092.7,4383573.3,0,0.125388745284504,-0.000436776955546688,-0.296863364885496,0.167037950335524,0.0101920011232583,-0.985897786923579,-0.00751383582238585,-0.999904372292472,-0.0116098467531827,0.985921835349508,-0.00934715911395814,0.166945395856122
439092.7,4384573.3,0,0.123540433776584,0.00170533788301808,-0.293122336629628,0.167759937476544,0.0131404415432785,-0.98574029651522,0.0463369610886078,0.998700897203123,0.0211991500478064,-0.984738284730993,0.0492325778496741,-0.166933111944087
439092.7,4385573.3,0,0.119890182651043,0.00552598257951562,-0.286190931690346,0.168985106759593,0.0193850927858583,-0.985427953668421,0.0895236217541872,0.99537190857197,0.0349325746804663,-0.981544474204537,0.0941221642519802,-0.166467604521303
439092.7,4386573.3,0,0.11448591798788,0.0105143261163111,-0.275251452293636,0.172284902736074,0.0312376272233505,-0.984551737053303,0.139127231019082,0.988705945565275,0.0557150499671206,-0.975172562102823,0.146576818935774,-0.165993103087101
439092.7,4387573.3,0,0.107467889733669,0.0159555696166804,-0.259434051960384,-0.180366409660035,-0.0514213276772704,0.982254450397785,0.195965652077493,0.976733424253646,0.0871164803673228,0.96388039790847,-0.208201020664294,0.166093086918615
439092.7,4388573.3,0,0.099143365658594,0.020952892276463,-0.238189404125237,-0.19743550889323,-0.0827150154604609,0.976820068408429,0.258973013804752,0.956635177667402,0.133349596812819,0.945490453653,-0.279297982568141,0.167452796287227
439092.7,4389573.3,0,0.0900225679177406,0.0245569513854437,-0.211731579965203,-0.228974338007206,-0.126384634760676,0.965193077384298,0.324453598702728,0.924928644295285,0.19808297567165,0.917769369080823,-0.35851628562521,0.170778974462584
439092.7,4390573.3,0,0.0807424916861829,0.0260401687059068,-0.181350647667199,-0.279732575662987,-0.179007079250033,0.943242361056438,0.386044726241167,0.878569457257561,0.281220870696928,0.879044455903303,-0.442800377543344,0.17665975827318
440092.7,4373573.3,0,0.0770705942572343,0.028017513918203,-0.152294677624159,0.429907093399767,-0.248229472040975,-0.868079501114283,0.523460328118507,-0.714853705454862,0.463652310124211,0.735642016153665,0.653732597479819,0.177382397834901
440092.7,4374573.3,0,0.0889195753981464,0.0318480917140643,-0.197008222696645,0.336679263313355,-0.212064851038363,-0.917428783398937,0.485402339186768,-0.795789904816719,0.362081477714356,0.806865318852403,0.567227402675395,0.164989184152583
440092.7,4375573.3,0,0.102043234944244,0.0328221622623997,-0.24385296924771,0.256371588363007,-0.154985461417312,-0.954071860726168,0.428160801126037,-0.866729155607998,0.255849368180101,0.866574830617264,0.474088681122329,0.155846030980426
440092.7,4376573.3,0,0.115978351085452,0.0299454328831222,-0.287893155623636,0.200697287382601,-0.0962225292982418,-0.974916316251151,0.356314143024367,-0.919836469439444,0.164137445362081,0.912557302484659,0.380318411787581,0.150323236185545
440092.7,4377573.3,0,0.129693131424899,0.0234553454876439,-0.324673131933979,0.169752712284003,-0.0495036899750357,-0.984242552093273,0.280257954708575,-0.95507473545791,0.0963728619092018,0.944796007344861,0.292201359286468,0.148252723874976
