Trend,Plunge
91.8820299117122,32.7390172117015
87.8046422489784,28.8476194571979
89.8239517541921,29.5663037201369
91.8243217638374,27.572571179766
87.4066235064319,29.9631187955199
91.8884078960028,29.9626901485789
91.288330370205,28.6268238317965
88.0162754279336,28.6224743665754
89.2245098544393,31.3369857313299
90.2312378657489,31.2232633694462
89.4324778701983,28.798075466827
89.9227341049299,28.7986471466093
89.4304373905585,29.2509836559264
90.0475433055773,29.3668356698288
90.0074545100906,29.5001311198327
89.0122508602919,29.4713595541879
92.2902645203795,27.2558766581285
86.7538969064951,27.2370651811697
90.0577384599789,29.6184675967912
88.9489175681791,29.6143378455383
90.2178951910676,29.4824517294687
89.1630830392288,29.5052267265985
90.1534797125243,29.542392274535
89.2004600206589,29.5400873987245
90.2517929408564,29.5578624332716
89.1400687710527,29.5553307204044
89.7073834093299,32.1236941638673
90.4409365236019,29.2337034141683
89.3625330103259,28.2304755197274
91.5398097734878,32.114712253382
89.9723116512357,31.7905376699399
89.9094654232705,29.1489968616155
90.8366165673015,29.1474558051299
91.8097603288662,28.2200411248163
89.7801457374943,29.0282581186341
89.5931734362759,30.8492753663728
89.3671874282791,31.7143393646455
89.4445633194594,29.0820102067224
90.2177931900175,29.0837830314808
89.6857473205524,29.5784728902057
89.1565358212571,28.8099285538189
90.3585064415714,29.5564117681101
89.3665131696151,29.6540665317872
90.3578939355735,29.5569719212132
89.2589551838201,29.555395211096
90.3980237908993,29.6422396098047
89.372420248274,29.6413564330462
91.0694341036908,29.6934821132044
90.0880683302526,29.567500013108
91.0124327399345,29.7460820328089
90.2861893218736,29.7496277819099
91.0692226027179,29.6930264747303
90.0303102698024,29.697316495895
87.3283623037862,29.8626692647126
92.2656275108898,29.8702283084652
86.6822957335764,29.9345805394442
91.62161106453,29.9785947240189
88.9198808520698,31.2189569846323
91.0715673193239,28.7275598555281
89.8210464010542,28.7330555554876
89.1282613503904,29.364009838173
89.9620485110876,31.3393114854867
89.7829117147947,29.2520152641875
86.942598217648,32.7159592344245
88.8943969792973,29.4955792094201
86.9435327792096,27.5510300786364
89.872022236077,29.6829101120999
88.8149127907303,29.6776987510195
91.5367803314138,28.2918300515875
92.2913102733945,27.5695662089922
87.4506480439685,28.2958787236942
86.7640963931354,30.5662165485874
92.2495137535488,32.7841625701868
86.9461065989143,32.7672054955724
90.1070255885788,29.4744838260234
92.2590673218785,27.3782086177784
86.9201330245317,27.3625838670982
89.0752639881961,29.4708914872444
90.1654743699175,29.4732890278879
90.0823117828492,29.5512974796161
90.1516363407711,29.5769834633046
89.0291396637419,29.5735385722092
89.39874079505,28.8940271646527
89.1948183048515,29.548895451123
89.1221903610611,29.4805453940074
89.9621145246086,28.8945911745667
90.2677239806594,29.5067012165669
90.1720370370066,29.5949681357172
89.8020115990748,31.7157491867495
90.0504306826563,28.8125408973251
90.203343976458,29.5587683316889
89.0879518303663,29.5558081698159
90.3045460730687,29.5875660294467
89.2393334683959,29.5857454893001
89.2534845574133,29.5551129972151
89.2948441995994,29.5932155974036
90.2780306289777,30.8496142406191
90.1880578717756,29.578710362734
89.9732593531309,31.7905378715055
90.1680477838881,29.0283325255726
90.6502980639532,29.7277044474415
89.709162643146,29.7289757792481
89.7239758246842,29.6965903701422
89.7462683696601,29.7168834699221
90.3118896620272,28.89335676949
90.5482065795836,29.7159962424368
89.4552432266718,28.8945348670465
90.6161349354398,29.6538315332855
91.0813912348103,31.6105875098458
88.8584156655569,29.4367552272454
88.2805805117247,29.2177481139426
88.280580511706,29.2177481139591
91.6895707686887,29.4488733076167
91.2968684292384,29.6556692042173
91.2544897715229,29.562890911707
91.2544897715225,29.5628909117066
93.4794262652064,28.0439561286065
93.6008547496455,27.2808594268368
91.4385417116117,28.8591465697558
91.4385417116661,28.8591465697541
86.0430117773304,28.8753970297776
88.6659934738656,29.5596548163199
88.665993473756,29.5596548163164
86.1208243448505,26.9462681917168
91.9076033428475,29.8641416114594
88.5735706096332,29.7767435409408
89.4811595799448,29.416604595033
89.4713275645562,29.4165096189175
89.6461830180959,29.3789540746854
89.6397900565217,29.3789194014214
90.4495075934557,29.5391435147491
90.5693607502683,29.5382170653385
89.7716704676187,29.436267044783
89.8131417973982,29.4363694743378
90.1228852746216,29.5609346927346
90.2942503195119,29.5603956423719
89.7447631623299,29.8126409808791
89.7447631623209,29.8126409808848
89.1510871208803,30.0308022451194
89.1510871208839,30.0308022450949
89.6558146240311,30.0329316298698
89.6558146240464,30.0329316298625
89.6165607437338,29.5428278866728
89.288752804947,29.5633940086446
89.3053850902901,29.9917957292197
89.3053850902909,29.9917957292202
89.7520192169973,29.9933485036817
89.7520192169958,29.9933485036824
89.5815974428908,29.3856396167581
89.5670654671165,29.3855361106419
89.4009884032228,29.9699518288331
89.4009884032034,29.969951828823
89.4739660299347,29.969653399965
89.4739660299382,29.9696533999669
89.861481340414,29.9706232406702
89.8614813404198,29.970623240667
89.7027372137478,29.3943833048623
89.810689886365,29.9711603989876
89.8106898863733,29.9711603990576
89.7109079895185,29.3944160193967
89.5450914664654,29.9915266605833
89.5450914664806,29.991526660592
89.9239640724613,29.9923424859499
89.9239640724666,29.9923424859469
89.6500927194423,30.0286759665399
89.6500927194369,30.0286759665367
90.415108007383,30.1006462925662
90.4151080073902,30.1006462925702
90.6259259643749,30.171986513247
90.6259259643721,30.1719865132225
90.1270327575945,30.1734276173436
90.1270327575978,30.1734276173455
90.2783461721245,30.1278313684559
90.2783461721231,30.1278313684417
90.0358851469477,30.0292547105715
90.0358851469533,30.0292547105682
